Suburb,Postcode,Population,Age,Suburb_name_geojson,Unit_buy/M,Unit_rent,House_rent,House_buy/M
abbotsbury,2176,4242,40 to 59,ABBOTSBURY,,,600.0,0.8415
abbotsford,2046,5366,40 to 59,ABBOTSFORD,1.0275,595.0,875.0,2.1
acacia-gardens,2763,3786,20 to 39,ACACIA GARDENS,,,540.0,0.795
agnes-banks,2753,919,40 to 59,AGNES BANKS,,,,
airds,2560,2939,5 to 19,AIRDS,,,450.0,0.43
alexandria,2015,8266,20 to 39,ALEXANDRIA,0.7275,595.0,800.0,1.43
alfords-point,2234,3093,40 to 59,ALFORDS POINT,,,738.0,1.2075
allambie-heights,2100,7001,40 to 59,ALLAMBIE HEIGHTS,,585.0,800.0,1.605
allawah,2218,5729,20 to 39,ALLAWAH,0.629,455.0,570.0,0.9501116553372303
ambarvale,2560,7358,20 to 39,AMBARVALE,,325.0,385.0,0.535
annandale,2038,9459,20 to 39,ANNANDALE,0.8375,488.0,800.0,1.54
annangrove,2156,1403,40 to 59,ANNANGROVE,,,450.0,0.5706185764077708
arcadia,2159,1373,40 to 59,ARCADIA,,,600.0,1.0449849250695953
arncliffe,2205,10593,20 to 39,ARNCLIFFE,0.65,590.0,650.0,1.053
arndell-park,2148,30,20 to 39,ARNDELL PARK,,,,
artarmon,2064,9527,20 to 39,ARTARMON,0.87,540.0,950.0,2.62694
ashbury,2193,3343,40 to 59,ASHBURY,,,650.0,1.425
ashcroft,2168,3584,20 to 39,ASHCROFT,,,390.0,0.595
ashfield,2131,23832,20 to 39,ASHFIELD,0.645,480.0,675.0,1.405
asquith,2077,3366,40 to 59,ASQUITH,0.6275,500.0,555.0,0.984
auburn,2144,37373,20 to 39,AUBURN,0.568,430.0,493.0,0.8
austral,2179,3033,60+,AUSTRAL,,280.0,500.0,1.09
avalon-beach,2107,9906,40 to 59,AVALON BEACH,0.8256,500.0,895.0,1.8
badgerys-creek,2555,233,20 to 39,BADGERYS CREEK,,,,
balgowlah-heights,2093,3350,40 to 59,BALGOWLAH HEIGHTS,,,1275.0,2.715
balgowlah,2093,7980,40 to 59,BALGOWLAH,1.053,600.0,1050.0,2.055
balmain-east,2041,1934,40 to 59,BALMAIN EAST,1.495,680.0,925.0,2.65
balmain,2041,10456,40 to 59,BALMAIN,0.965,650.0,850.0,1.84
bangor,2234,5575,40 to 59,BANGOR,,600.0,723.0,1.005
banksia,2216,3380,20 to 39,BANKSIA,,425.0,600.0,1.05
banksmeadow,2019,18,60+,BANKSMEADOW,,,,
bankstown,2200,32116,20 to 39,BANKSTOWN,0.4715,420.0,500.0,0.857
bankstown-aerodrome,2200,32116,20 to 39,BANKSTOWN AERODROME,,,,
barangaroo,2000,187,20 to 39,BARANGAROO,,1300.0,,
barden-ridge,2234,4312,40 to 59,BARDEN RIDGE,,403.0,798.0,1.155
bardia,2565,4312,40 to 59,BARDIA,,290.0,510.0,0.627
bardwell-park,2207,2241,40 to 59,BARDWELL PARK,,483.0,650.0,1.1475
bardwell-valley,2207,2328,40 to 59,BARDWELL VALLEY,,,580.0,1.1
bass-hill,2197,9071,20 to 39,BASS HILL,0.57,460.0,570.0,0.775
baulkham-hills,2153,37045,40 to 59,BAULKHAM HILLS,0.7355,500.0,580.0,1.111
bayview,2104,3624,60+,BAYVIEW,,550.0,1100.0,1.705
beacon-hill,2100,7451,40 to 59,BEACON HILL,,475.0,800.0,1.3775
beaconsfield,2015,978,20 to 39,BEACONSFIELD,1.025,630.0,750.0,1.5193512737314196
beaumont-hills,2155,9052,40 to 59,BEAUMONT HILLS,,,650.0,1.1
beecroft,2119,9392,40 to 59,BEECROFT,0.905,495.0,740.0,1.65
belfield,2191,6318,40 to 59,BELFIELD,0.6875,470.0,600.0,1.1
bella-vista,2153,7823,40 to 59,BELLA VISTA,,600.0,740.0,1.625
bellevue-hill,2023,10709,20 to 39,BELLEVUE HILL,1.2125,680.0,1800.0,5.725
belmore,2192,12720,20 to 39,BELMORE,0.499999,390.0,568.0,0.9525
belrose,2085,8781,60+,BELROSE,0.52,720.0,1000.0,1.451
berala,2141,9026,20 to 39,BERALA,0.484,368.0,480.0,0.85
berkshire-park,2765,2138,20 to 39,BERKSHIRE PARK,,,600.0,1.0449849250695953
berowra-creek,2082,14,60+,BEROWRA CREEK,,,,
berowra-heights,2082,5272,40 to 59,BEROWRA HEIGHTS,,518.0,580.0,0.935
berowra-waters,2082,135,60+,BEROWRA WATERS,,,,
berowra,2081,4727,40 to 59,BEROWRA,,423.0,588.0,1.06
berrilee,2159,236,40 to 59,BERRILEE,,,,
beverley-park,2217,2392,40 to 59,BEVERLEY PARK,,555.0,600.0,1.15
beverly-hills,2209,10167,20 to 39,BEVERLY HILLS,0.652,470.0,600.0,1.026
bexley-north,2207,4096,40 to 59,BEXLEY NORTH,,470.0,620.0,1.1725
bexley,2207,19722,20 to 39,BEXLEY,0.648,450.0,600.0,1.05
bickley-vale,2570,19722,20 to 39,BICKLEY VALE,,,,
bidwill,2770,4281,5 to 19,BIDWILL,,,350.0,0.487
bilgola-beach,2107,4281,5 to 19,BILGOLA BEACH,,,,
bilgola-plateau,2107,4281,5 to 19,BILGOLA PLATEAU,,575.0,950.0,1.6565
birchgrove,2041,3302,40 to 59,BIRCHGROVE,0.9545,575.0,920.0,1.7125
birrong,2143,3109,20 to 39,BIRRONG,,,475.0,0.76
blackett,2770,3452,20 to 39,BLACKETT,,,330.0,0.45
blacktown,2148,47175,20 to 39,BLACKTOWN,0.45,390.0,405.0,0.655
blair-athol,2560,2886,20 to 39,BLAIR ATHOL,,,485.0,0.705
blairmount,2559,422,20 to 39,BLAIRMOUNT,,345.0,463.0,0.6117303266251289
